DeploymentID,City,State,Agency,TechnologyID,VendorID,Summary,Link,Latitude,Longitude
3881,Garden City,ID,Garden City Police Department,1,4,The Garden City Police Department implemented a body-worn camera policy in 2018.,https://www.gcpolice.org/home/showdocument?id=4484,43.622111,-116.238178
3882,Butte,MT,Butte‐Silver Bow Sheriff's Office,1,6,"The Butte‐Silver Bow Sheriff's Office purchased 55 body-worn cameras for sworn officers in 2015. In 2016, body-worn cameras were purchased for jail officers.",https://mtstandard.com/crime-and-courts/butte-police-prepare-to-implement-body-cameras-on-patrols/article_94667c65-c507-5c62-8b97-711e91a986ee.html,46.0131505,-112.536508
3883,Washington,DC,Metropolitan Police Department,2,2,The Metropolitan Police Department finished building out its ShotSpotter gunshot detection system in 2009.,https://www.washingtonpost.com/wp-dyn/content/article/2006/10/21/AR2006102100826.html?tid=a_inl_manual,38.8950368,-77.0365427
3884,North Ridgeville,OH,North Ridgeville Police Department,1,4,The North Ridgeville Police Department uses body-worn cameras (including when officers chase down fugitive cows).,https://www.youtube.com/watch?v=aLOQE_vnJh8,41.3894905,-82.0190321
3885,East Peoria,IL,Illinois Central College Campus Police Department,1,6,The Illinois Central College Police Department purchased 32 body cameras from Axon in February 2016.,https://icc.edu/faculty-staff/news/icc-police-department-to-deploy-officer-body-worn-cameras/,40.666149,-89.5800978
3886,San Francisco,CA,San Francisco Police Department,2,2,The San Francisco Police Department has been using Shotspotter gunshot detection technology since 2008.,https://money.cnn.com/2009/11/09/smallbusiness/ear_for_crime.fsb/index.htm,37.7792588,-122.4193286
3887,Baltimore,MD,Baltimore Police Department,2,2,The Baltimore Police Department began using ShotSpotter gunshot detection technology in 2018.,https://www.wmar2news.com/investigators/shotspotter-listening-recording-hundreds-of-gunshots-in-the-city,39.2908816,-76.610759
3888,Castleton-On-Hudson,NY,Schodack Police Department,1,6,"In 2018, The City of Schodack purchased 18 body-worn cameras and other equipment and services from Axon for $20,000.",https://www.schodack.org/sites/schodackny/files/agendas/support_021419_0.pdf,42.5308134,-73.7553018
3889,Westerville,OH,Westerville Police Department,1,6,"The Westerville Police Department purchased 90 body-worn cameras from Axon for $196,500 in 2019.",https://onbaseweb.westerville.org/Agenda/Meetings/ViewMeeting?id=2184&doctype=2,40.126139,-82.9295287
3890,Birmingham,AL,Birmingham Police Department,2,2,"In 2019, the Birmingham Police Department renewed a three-year contract for $2.6 million with ShotSpotter for gunshot detection technology.",https://www.wbrc.com/2019/09/25/city-birmingham-renews-million-shotspotter-contract/,33.5206824,-86.8024326
3891,Los Gatos,CA,Los Gatos-Monte Sereno Police Department,4,12,The Los Gatos/Monte Sereno Police Department uses PredPol (now Geolitica) predictive policing software.,https://www.predpol.com/piedmont-california-civic-organization-highlights-predpol/#,37.226611,-121.9746797
3892,Nashville,TN,Tennessee Department Of Safety & Homeland Security,3,4,The Tennessee Department Of Safety & Homeland Security installed 24 automated license plate reader systems in 2010.,https://www.tn.gov/content/dam/tn/safety/documents/10-11AnnualReport.pdf,36.1622767,-86.7742984
3893,Denver,PA,East Cocalico Township Police Department,3,37,The East Cocalico Township Police Department purchased three automated license plate readers from Rekor Systems in February 2020.,https://lancaster.crimewatchpa.com/eastcocalicopd/10559/post/license-plate-readers,40.2331483,-76.1371684
3894,Denver,CO,Denver Regional Transportation District - Transit Police,9,159,"The Denver Regional Transportation District Transit Police implemented NiceVision video analytic technology into their computer systems in 2012. In a 2019 job posting, they ask applicants to be familiar with BriefCam Video Synopsis and Qognify systems.",http://agency.governmentjobs.com/rtd-denver/job_bulletin.cfm?jobID=2647065&sharedWindow=0,39.7392364,-104.984862
3895,Hartford,CT,Hartford Police Department,9,30,The Hartford Police Department has used BriefCam software since 2017.,https://cdn2.hubspot.net/hubfs/3916087/Resources/HPD-Case-Study%20(May%2030)%20R.pdf,41.764582,-72.6908547
3896,Clayton,MO,St. Louis County Police Department,2,2,The St. Louis County Police Department installed ShotSpotter gunshot detection technology in 2017.,https://news.stlpublicradio.org/post/st-louis-county-police-turn-sensors-they-say-will-combat-gun-violence#stream/0,38.6504352,-90.3362473
3897,Fargo,ND,Fargo Police Department,3,158,"Since 2010, the Fargo Police Department has had squad cars equipped with automated license plate readers. In 2018, the police department purchased four additional ALPRs for $60,000 from Pips Technology.",https://bismarcktribune.com/news/state-and-regional/fargo-cops-getting-more-license-plate-scanners-for-squad-cars/article_875cf045-234f-5cd9-915f-43f3b95d0cd5.html,46.877229,-96.789821
3898,Richmond,CA,Richmond Police Department,1,6,The Richmond Police Department signed a five-year contract with Axon for 190 body-worn cameras.,https://richmondconfidential.org/2016/10/20/council-votes-to-fund-contract-for-new-police-body-cams-and-tasers/,49.163168,-123.137414
3899,Pittsfield,MA,Pittsfield Police Department,2,2,"The Pittsfield Police Department began using ShotSpotter gunshot detection technology in 2017. The system was paid for with a $300,000 gift from Berkshire Health Systems.",https://cbs6albany.com/news/local/shotspotter-system-proving-effective-in-pittsfield,42.4484778,-73.2541069
3900,Sheboygan,WI,Sheboygan Police Department,1,6,The Sheboygan Police Department purchased 70 Axon body-worn cameras in 2017.,http://local.nixle.com/alert/6161191/,43.7128967,-87.9370433
3901,Hamilton,NJ,Hamilton Police Department,1,6,"The Hamilton Township Police Department has 40 body-worn cameras, according to a 2020 survey from New Jersey Attorney General's Office.",https://www.nj.gov/oag/newsreleases20/2020-BWC-Survey_FULL.pdf,40.255293949999995,-74.70381829422638
3902,Auburn,WA,Auburn Police Department,3,4,The Auburn Police Department has been using automated license plate readers since at least 2008.,https://www.auburn-reporter.com/news/auburn-police-target-car-thefts/,47.3075369,-122.2301808
3903,South Bend,IN,South Bend Police Department,2,2,The South Bend Police Department began using ShotSpotter gunshot detection technology in 2013.,http://docs.southbendin.gov/WebLink/0/edoc/276741/0.2019%20Budget%20Book.pdf,41.6833813,-86.2500066
3904,Salisbury,NC,Rowan County Sheriff's Office,1,6,The Rowan County Sheriff’s Office purchased 49 body-worn cameras in 2016.,https://www.rowancountync.gov/DocumentCenter/View/4640/December-5-2016-Board-of-Commissioners-Regular-Meeting-Minutes-PDF?bidId=,35.6709727,-80.4742261
3905,Orlando,FL,Orange County Sheriff's Office,4,12,The Orange County Sheriff's Office began using PredPol (now Geolitica) predictive policing software in 2014.,https://www.ocso.com/Portals/0/PDFs/2017%20Annual%20Report.pdf,28.5421109,-81.3790304
3906,Chillicothe,OH,Chillicothe Police Department,1,160,"In 2017, the Chillicothe Police Department purchased Axon body-worn cameras at a cost of $250,000 over four years. The agency had previously used VieVu cameras. The Chillicothe Police Department received an additional $28,832 grant for body-worn cameras from the Ohio Department of Public Safety in December 2022.",https://www.chillicothegazette.com/story/news/local/2017/01/21/chillicothe-police-stop-using-body-cams-buying-new-ones/96834980/,39.3331197,-82.9824019
3907,Columbus,MT,Stillwater County Sheriff's Office,1,6,The Stillwater County Sheriff's Office uses Axon body-worn cameras.,https://www.facebook.com/StillwaterCSO/photos/a.437495942951023/2328595710507694/?type=3&theater,45.6366114,-109.252154
3908,Andeerson,SC,Anderson County Sheriff's Office,1,4,The Anderson County Sheriff's Office began using body-worn cameras in 2020.,https://www.wspa.com/news/anderson-county-makes-huge-strides-in-projects-and-purchases-of-new-equipment/,,
3909,Sandusky,OH,Sandusky Police Department,1,6,"The Sandusky Police Department bought 56 Axon body cameras in 2019. The Sandusky Police Department received an additional $11,760 grant for body-worn cameras from the Ohio Department of Public Safety in December 2022.",http://www.ci.sandusky.oh.us/CC%20Agendas/1.28.19%20REV.pdf,41.2951563,-83.1555438
3910,Charlottesville,VA,Charlottesville Police Department,1,4,"The Charlottesville Police Department spent $450,000 on body-worn cameras in 2014.",https://www.c-ville.com/cops-cameras-body-cams-imminent-charlottesville-police/,38.029306,-78.4766781
3911,Freeport,NY,Freeport Police Department,2,2,The Freeport Police Department began using Shotspotter gunshot detection technology in 2017.,https://freeportny.com/DocumentCenter/View/7065/2017-Annual-Report?bidId=,40.6576071,-73.5835826
3912,Newark,NJ,New Jersey Transit Police Department,1,6,"The New Jersey Transit Police Department has 359 body-worn cameras, according to a 2020 survey from New Jersey Attorney General's Office.",https://www.nj.gov/oag/newsreleases20/2020-BWC-Survey_FULL.pdf,40.735657,-74.1723667
3913,Jackson,WY,Teton County Sheriff's Office,1,5,"In 2015, the Teton County Sheriff's Office purchased Coban body-worn cameras after receiving a $28,000 grant from the Community Foundation of Jackson Hole’s Law Enforcement Support Organization Fund.",https://www.jhnewsandguide.com/news/cops_courts/article_662708cf-2e55-5373-8d93-bb7908e2028c.html,43.479965,-110.761815
3914,St.Helen's,OR,Columbia County Sheriff's Office,1,4,"The Columbia County Sheriff's Office purchased 30 body-worn cameras for $24,000 in 2015.",https://tdn.com/news/local/columbia-county-cops-will-wear-body-cams/article_b6f2b9a4-c498-11e4-96e0-b77752ec89b9.html,45.427334612198486,-122.7075496535926
3915,Springfield,IL,Lincoln Land Community College Police Department,1,4,The Lincoln Land Community College Police Department uses Axon body-worn cameras.,https://www.llcc.edu/wp-content/uploads/2014/09/03-22-17-Agenda-for-Web.pdf,39.7990175,-89.6439575
3916,Jersey Village,TX,Jersey Village Police Department,3,17,"In 2018, the Jersey Village Police Department signed a $312,000 contract with Flock Safety for 48 automated license plate readers.",https://www.chron.com/neighborhood/cyfair/news/article/License-plate-recognition-cameras-to-be-placed-in-13496188.php,29.888578,-95.5699185
3917,Harrisburg,PA,Pennsylvania Department of Transportation,3,4,"In 2017, the Pennsylvania Department of Transportation switched from registration stickers to automated license plate reader technology.",https://www.phillyvoice.com/penndot-eliminate-pennsylvania-registration-stickers-2017/,40.2663107,-76.8861122
3918,Chicopee,MA,Chicopee Police Department,9,30,"The Chicopee Police Department has purchased BriefCam video analytics software, however as of July 2020, the agency said it was not using the technology.",https://www.chicopeema.gov/Search?searchPhrase=briefcam,42.1487691,-72.6071119
3919,Annapolis,MD,Anne Arundel County Police Department,5,4,"The Maryland State Police and police departments across the Baltimore region — including Anne Arundel, Baltimore, Carroll, Howard and Harford counties — all told the Baltimore Sun that they access the Maryland Image Repository System, which includes face recognition.",https://www.baltimoresun.com/news/crime/bs-md-facial-recognition-20161017-story.html,38.9786401,-76.492786
3920,Millersville,MD,Maryland State Police,5,4,"The Maryland State Police and police departments across the Baltimore region — including Anne Arundel, Baltimore, Carroll, Howard and Harford counties — all told the Baltimore Sun that they access the Maryland Image Repository System, which includes face recognition.",https://www.baltimoresun.com/news/crime/bs-md-facial-recognition-20161017-story.html,39.0595542,-76.6480219
3921,Towson,MD,Baltimore County Police Department,5,4,"The Maryland State Police and police departments across the Baltimore region — including Anne Arundel, Baltimore, Carroll, Howard and Harford counties — all told the Baltimore Sun that they access the Maryland Image Repository System, which includes face recognition.",https://www.baltimoresun.com/news/crime/bs-md-facial-recognition-20161017-story.html,39.39645905,-76.61481481790992
