City,State,Agency,tech_type,Vendor,date,year
Brea,CA,Brea Police Department,Predictive Policing,Geolitica,04/12/2016,2016.0
St. Johnsbury,VT,St. Johnsbury Police Department,Body-worn Cameras,,08/27/2018,2018.0
Atlanta,GA,Atlanta Police Department,Predictive Policing,Geolitica,09/23/2013,2013.0
Norcross,GA,Norcross Police Department,Predictive Policing,Geolitica,09/23/2013,2013.0
Milford,DE,Milford Police Department,Body-worn Cameras,,02/13/2019,2019.0
Decatur,GA,DeKalb County Marshal's Office,Body-worn Cameras,,05/28/2019,2019.0
Stow,OH,Stow Police Department,Body-worn Cameras,,2016,2016.0
Woodbridge,VA,Prince William County Police Department,Body-worn Cameras,Axon,06/06/2017,2017.0
West Palm Beach,FL,Palm Beach County Sheriff's Office,Gunshot Detection,ShotSpotter,10/07/2013,2013.0
Manlius,NY,Manlius Police Department,Body-worn Cameras,Axon,1/25/2015,2015.0
Detroit,MI,Detroit Police Department,Face Recognition,DataWorks Plus,7/31/2020,2020.0
Rigby,ID,Jefferson County Sheriff's Office,Body-worn Cameras,Axon,10/09/19,2019.0
Eureka,CA,Humboldt County Sheriff's Office,Body-worn Cameras,Axon,06/22/2019,2019.0
Tracy,CA,Tracy Police Department,Predictive Policing,Geolitica,03/04/2015,2015.0
Haverhill,MA,Haverhill Police Department,Predictive Policing,Geolitica,03/18/2014,2014.0
Los Angeles,CA,Los Angeles County Sheriff's Department,Face Recognition,DataWorks Plus,03/21/2018,2018.0
Brockport,NY,Brockport Police Department,Body-worn Cameras,Axon,07/21/2015,2015.0
Mansfield,TX,Tarrant County Constables,Body-worn Cameras,Axon,12/8/2015,2015.0
Bay,MI,Bay City Police Department,Body-worn Cameras,Axon,11/17/2015,2015.0
Carson City,NV,Carson City Sheriff's Office,Body-worn Cameras,Axon,03/15/18,2018.0
Auburn,WA,Auburn Police Department,Body-worn Cameras,,01/30/2019,2019.0
Katy,TX,Katy Police Department,Body-worn Cameras,,06/22/2016,2016.0
Longmont,CO,Longmont Police Department,Automated License Plate Readers,Vigilant Solutions,07/17/2013,2013.0
Boulder,CO,Boulder Police Department,Automated License Plate Readers,Vigilant Solutions,07/17/2013,2013.0
Erie,CO,Erie Police Department,Automated License Plate Readers,Vigilant Solutions,07/17/2013,2013.0
Commerce City,CO,Commerce City Police Department,Automated License Plate Readers,Vigilant Solutions,07/17/2013,2013.0
Thornton,CO,Thornton Police Department,Automated License Plate Readers,Vigilant Solutions,07/17/2013,2013.0
Brighton,CO,Adams County Sheriff's Office,Automated License Plate Readers,Vigilant Solutions,07/17/2013,2013.0
Lafayette,CO,Lafaytette Police Department,Automated License Plate Readers,Vigilant Solutions,07/17/2013,2013.0
Golden,CO,Colorado Auto Theft Prevention Authority,Automated License Plate Readers,Vigilant Solutions,07/17/2013,2013.0
Greenwood Village,CO,Greenwood Village Police Department,Automated License Plate Readers,Vigilant Solutions,07/21/2016,2016.0
San Pablo,CA,San Pablo Police Department,Gunshot Detection,ShotSpotter,2018,2018.0
Kersey,CO,Kersey Police Department,Body-worn Cameras,,,
Stockton,CA,Stockton Police Department,Gunshot Detection,ShotSpotter,01/01/2019,2019.0
Oxnard,CA,Oxnard Police Department,Body-worn Cameras,Axon,03/21/2018,2018.0
Auburn,CA,Placer County Sheriff's Office,Face Recognition,DataWorks Plus,2/6/2018,2018.0
San Jose,CA,Santa Clara County Sheriff's Office,Body-worn Cameras,Axon,3/2/2017,2017.0
Los Angeles,CA,California State University Northridge Department of Police Services,Body-worn Cameras,Axon,10/29/2017,2017.0
Gainesville,FL,Gainesville Police Department,Body-worn Cameras,Axon,04/19/18,2018.0
