City,State,Agency,tech_type,Vendor,date,year
Williams,AZ,Williams Police Department,Body-worn Cameras,,09/10/2020,2020.0
Winslow,AZ,Winslow Police Department,Body-worn Cameras,,09/10/2020,2020.0
Prescott,AZ,Yavapai County Sheriff's Office,Body-worn Cameras,Axon,09/10/2020,2020.0
Germantown,TN,Germantown Police Department,Automated License Plate Readers,Flock Safety,03/16/2020,2020.0
Germantown,TN,Germantown Police Department,Camera Registry,,03/16/2020,2020.0
Addison,TX,Addison Police Department,Automated License Plate Readers,,07/10/1905,1905.0
Buda,TX,Buda Police Department,Body-worn Cameras,Axon,06/26/2015,2015.0
Richmond,VA,Richmond Police Department,Automated License Plate Readers,Flock Safety,,
Richmond,VA,Richmond Police Department,Body-worn Cameras,Axon,,
Madison,WI,Shorewood Hills Police Department,Body-worn Cameras,,03/15/2018,2018.0
Whitewater,WI,Whitewater Police Department,Body-worn Cameras,Axon,02/26/2013,2013.0
Hartford,CT,Hartford Police Department,Body-worn Cameras,,02/4/19,2019.0
Lewisville,TX,Lewisville Police Department,Body-worn Cameras,,03/24/2018,2018.0
Bristol,CT,Bristol Police Department,Body-worn Cameras,Axon,01/15/20,2020.0
Trussville,AL,Trussville Police Department,Automated License Plate Readers,Flock Safety,8/16/2019,2019.0
Steele,AL,Steele Police Department,Automated License Plate Readers,Flock Safety,9/18/2020,2020.0
Northport,AL,Northport Police Department,Automated License Plate Readers,Flock Safety,8/26/2020,2020.0
Pinson,AL,Pinson Department of Public Safety,Automated License Plate Readers,Flock Safety,6/11/2020,2020.0
Clay,AL,Jefferson County Sheriff's Office,Automated License Plate Readers,Flock Safety,04/30/2020,2020.0
Birmingham,AL,Birmingham Police Department,Automated License Plate Readers,Flock Safety,9/9/2020,2020.0
Alabaster,AL,Alabaster Police Department,Automated License Plate Readers,Flock Safety,5/18/2020,2020.0
Springville,AL,Springville Police Department,Automated License Plate Readers,Flock Safety,01/24/2020,2020.0
Birmingham,AL,Jefferson County Sheriff's Office,Automated License Plate Readers,Flock Safety,08/06/2020,2020.0
Moody,AL,Moody Police Department,Automated License Plate Readers,Flock Safety,11/20/2019,2019.0
Lake Forest,CA,Lake Forest Police Department,Automated License Plate Readers,Flock Safety,5/26/2020,2020.0
Brawley,CA,Brawley Police Department,Automated License Plate Readers,Flock Safety,,
Barstow,CA,Barstow Police Department,Automated License Plate Readers,Flock Safety,,
Bow Mar,CO,Columbine Valley Police Department,Automated License Plate Readers,Flock Safety,2/7/2020,2020.0
Sandy Springs,GA,Sandy Springs Police Department,Automated License Plate Readers,"Flock Safety, Genetec",11/7/2019,2019.0
Hapeville,GA,Hapeville Police Department,Automated License Plate Readers,Flock Safety,1/8/2020,2020.0
Savannah,GA,Savannah Police Department,Automated License Plate Readers,Flock Safety,07/12/1905,1905.0
Carrollton,GA,Carrollton Police Department,Automated License Plate Readers,Flock Safety,8/26/2020,2020.0
Dunwoody,GA,Dunwoody Police Department,Automated License Plate Readers,Flock Safety,,
Vernon Hills,IL,Vernon Hills Police Department,Automated License Plate Readers,Flock Safety,,
Ridgeland,MS,Ridgeland Police Department,Automated License Plate Readers,Flock Safety,5/15/2020,2020.0
Collierville,TN,Collierville Police Department,Automated License Plate Readers,Flock Safety,6/27/2019,2019.0
Covington,TN,Covington Police Department,Automated License Plate Readers,Flock Safety,3/16/2020,2020.0
Hawthorne,NY,Westchester County Police Department,Real-Time Crime Center,Mobotix,12/9/2020,2020.0
Pinellas Park,FL,Pinellas Park Police Department,Automated License Plate Readers,Flock Safety,07/09/2020,2020.0
LaGrange,GA,LaGrange Police Department,Automated License Plate Readers,Flock Safety,03/23/2018,2018.0
Johns Creek,GA,Johns Creek Police Department,Automated License Plate Readers,Flock Safety,7/11/1905,1905.0
Marietta,GA,Cobb County Police Department,Automated License Plate Readers,Flock Safety,3/26/2020,2020.0
Savannah,GA,Chatham County Police Department,Automated License Plate Readers,Flock Safety,1/17/2020,2020.0
Manteno,IL,Manteno Police Department,Automated License Plate Readers,"Flock Safety, Dura Tech",5/4/2020,2020.0
Libertyville,IL,Libertyville Police Department,Automated License Plate Readers,Flock Safety,07/28/2020,2020.0
Livingston,LA,Livingston Parish Sheriff's Office,Automated License Plate Readers,Flock Safety,3/2/2020,2020.0
Memphis,TN,Shelby County Sheriff's Office,Automated License Plate Readers,Flock Safety,,
Bartlett,TN,Bartlett Police Department,Automated License Plate Readers,Flock Safety,03/16/2020,2020.0
Horn Lake,TN,Horn Lake Police Department,Automated License Plate Readers,Flock Safety,03/16/2020,2020.0
Lakeland,TN,Lakeland Police Department,Automated License Plate Readers,Flock Safety,03/16/2020,2020.0
Katy,TX,Katy Police Department,Automated License Plate Readers,Flock Safety,03/19/2020,2020.0
Fulshear,TX,Fulshear Police Department,Automated License Plate Readers,Flock Safety,5/22/2020,2020.0
Bartonville,TX,Bartonville Police Department,Automated License Plate Readers,Flock Safety,9/11/2020,2020.0
State College,PA,Pennsylvania State University Police Department,Body-worn Cameras,,09/17/2020,2020.0
Grand Forks,ND,University of North Dakota Police Department,Drones,DJI,8/15/2019,2019.0
University Park,MD,University Park Police Department,Body-worn Cameras,Axon,2/12/2020,2020.0
Boca Raton,FL,Florida International University Police Department,Body-worn Cameras,,9/30/2020,2020.0
Boca Raton,FL,Florida Atlantic University Police Department,Body-worn Cameras,,8/1/2020,2020.0
Hampton,VA,Hampton University Police Department,Body-worn Cameras,Axon,6/30/2020,2020.0
San Marcos,TX,Texas State University Police Department,Body-worn Cameras,,11/12/2020,2020.0
San Diego,CA,University of California San Diego Transportation Services,Automated License Plate Readers,Park Assist,1/7/2019,2019.0
North Chicago,IL,North Chicago Police Department,Gunshot Detection,ShotSpotter,12/22/2020,2020.0
Monroe,LA,Monroe Police Department,Gunshot Detection,ShotSpotter,12/22/2020,2020.0
Kankakee,IL,Kankakee Police Department,Gunshot Detection,ShotSpotter,12/22/2020,2020.0
Ferguson,MO,Ferguson Police Department,Gunshot Detection,ShotSpotter,12/22/2020,2020.0
McKeesport,PA,McKeesport Police Department,Gunshot Detection,ShotSpotter,12/22/2020,2020.0
Mansfield,OH,Mansfield Police Department,Gunshot Detection,ShotSpotter,12/22/2020,2020.0
Freeport,IL,Freeport Police Department,Gunshot Detection,ShotSpotter,12/22/2020,2020.0
Long Beach,CA,Long Beach Police Department,Real-Time Crime Center,,,
Enfield,CT,Enfield Police Department,Video Analytics,BriefCam,2/1/2020,2020.0
Baltimore,MD,Baltimore Police Department,Body-worn Cameras,Axon,,
Midland,TX,Midland Independent School District Police Department,Body-worn Cameras,,12/04/2018,2018.0
Lakeport,IL,Lake County Sheriff's Office,Body-worn Cameras,Axon,04/15/2019,2019.0
Zephyrhills,FL,Zephyrhills Police Department,Body-worn Cameras,Axon,08/08/2018,2018.0
Clinton,IA,Clinton Police Department,Body-worn Cameras,Axon,02/12/2018,2018.0
Bethlehem,PA,Bethlehem Township Police Department,Automated License Plate Readers,,07/13/2017,2017.0
Hawthorne,NY,Westchester County Police Department,Automated License Plate Readers,Rekor,08/21/2019,2019.0
Fort Worth,TX,Fort Worth Police Department,Drones,Axon,04/21/2020,2020.0
Greeley,CO,Greeley Police Department,Automated License Plate Readers,,01/26/2020,2020.0
Texarkana,TX,Texarkana Police Department,Body-worn Cameras,Axon,05/15/2017,2017.0
Huntersville,NC,Huntersville Police Department,Body-worn Cameras,,03/26/2018,2018.0
Clarkston,GA,Clarkston Police Department,Automated License Plate Readers,,07/23/2019,2019.0
Avondale Estates,GA,Avondale Estates Police Department,Automated License Plate Readers,,6/30/2017,2017.0
Chamblee,GA,Chamblee Police Department,Automated License Plate Readers,,,
Decatur,GA,Decatur Police Department,Automated License Plate Readers,,05/18/2009,2009.0
Brookhaven,GA,Brookhaven Police Department,Automated License Plate Readers,Vigilant Solutions,03/27/0201,
Tucker,GA,DeKalb County Police Department,Automated License Plate Readers,Flock Safety,09/09/2020,2020.0
Atlanta,GA,Fulton County Police Department,Automated License Plate Readers,,,
Milton,GA,Milton Police Department,Automated License Plate Readers,,01/09/2019,2019.0
East Point,GA,East Point Police Department,Automated License Plate Readers,,2019,2019.0
Roswell,GA,Roswell Police Department,Automated License Plate Readers,Vigilant Solutions,02/23/2018,2018.0
Santa Maria,CA,Santa Maria Police Department,Drones,,08/12/2020,2020.0
Milton,WI,Milton Police Department,Body-worn Cameras,,03/18/2016,2016.0
Clarkston,GA,Clarkston Police Department,Body-worn Cameras,BodyWorn,07/09/1905,1905.0
Lithonia,GA,Lithonia Police Department,Body-worn Cameras,,9/20/2019,2019.0
Avondale Estates,GA,Avondale Estates Police Department,Body-worn Cameras,Axon,3/10/2016,2016.0
Chamblee,GA,Chamblee Police Department,Body-worn Cameras,WatchGuard,06/03/2020,2020.0
Dunwoody,GA,Dunwoody Police Department,Body-worn Cameras,Axon,05/04/2015,2015.0
Decatur,GA,Agnes Scott College Department of Public Safety,Body-worn Cameras,Axon,8/30/2019,2019.0
Doraville,GA,Doraville Police Department,Body-worn Cameras,Axon,12/29/2020,2020.0
Stone Mountain,GA,Stone Mountain Police Department,Body-worn Cameras,,1/18/2016,2016.0
Milton,GA,Milton Police Department,Body-worn Cameras,Utility,03/07/2019,2019.0
Johns Creek,GA,Johns Creek Police Department,Body-worn Cameras,Axon,07/19/2019,2019.0
College Park,GA,College Park Police Department,Body-worn Cameras,Reveal,10/31/2016,2016.0
Chattahoochee Hills,GA,Chattahoochee Hills Police Department,Body-worn Cameras,Axon,10/20/2020,2020.0
Fairburn,GA,Fairburn Police Department,Body-worn Cameras,Axon,10/6/2016,2016.0
Sandy Springs,GA,Sandy Springs Police Department,Body-worn Cameras,Axon,12/03/2020,2020.0
Alpharetta,GA,Alpharetta Police Department,Body-worn Cameras,Utility,3/7/2018,2018.0
Hapeville,GA,Hapeville Police Department,Camera Registry,,,
Decatur,GA,Decatur Police Department,Body-worn Cameras,Utility,07/28/2020,2020.0
Union City,GA,Union City Police Department,Body-worn Cameras,Axon,12/4/2020,2020.0
Roswell,GA,Roswell Police Department,Body-worn Cameras,,08/15/2017,2017.0
Atlanta,GA,Fulton County Marshal's Department,Body-worn Cameras,Utility,8/1/2018,2018.0
Atlanta,GA,Fulton County Sheriff's Office,Body-worn Cameras,,,
Atlanta,GA,Emory University Police Department,Body-worn Cameras,,07/01/2020,2020.0
Hapeville,GA,Hapeville Police Department,Body-worn Cameras,,5/3/2016,2016.0
Sandy Springs,GA,Fulton County Schools Police Department,Body-worn Cameras,PatrolEyes,8/2/2018,2018.0
Pine Lake,GA,Pine Lake Police Department,Automated License Plate Readers,,1/14/2018,2018.0
Houston,TX,University of Houston Police Department,Body-worn Cameras,,8/15/2018,2018.0
Atlanta,GA,Georgia Tech Police Department,Gunshot Detection,Fusus,05/21/2020,2020.0
Durham,NC,University of New Hampshire Police Department,Body-worn Cameras,Axon,03/05/2020,2020.0
Fort Collins,CO,Colorado State University Parking and Transportation Services,Automated License Plate Readers,,,
Lacey,NJ,Lacey Police Department,Body-worn Cameras,,2020,2020.0
Lakehurst,NJ,Lakehurst Police Department,Body-worn Cameras,,2020,2020.0
Leonia,NJ,Leonia Police Department,Body-worn Cameras,,2020,2020.0
Little Ferry,NJ,Little Ferry Police Department,Body-worn Cameras,,2020,2020.0
Logan,NJ,Logan Township Police Department,Body-worn Cameras,,2020,2020.0
Manchester,NJ,Manchester Police Department,Body-worn Cameras,,2020,2020.0
Margate,NJ,Margate Police Department,Body-worn Cameras,,2020,2020.0
Mays Landing,NJ,Atlantic County Justice Facility,Body-worn Cameras,,2020,2020.0
Medford Lakes,NJ,Medford Lakes Police Department,Body-worn Cameras,,2020,2020.0
Milltown,NJ,Milltown Police Department,Body-worn Cameras,,2020,2020.0
Monroe,NJ,Monroe Township Police Department,Body-worn Cameras,,2020,2020.0
Montvale,NJ,Montvale Police Department,Body-worn Cameras,,2020,2020.0
Morris,NJ,Morris Township Police Department,Body-worn Cameras,,2020,2020.0
Morristown,NJ,Morristown Township Police Department,Body-worn Cameras,,2020,2020.0
Mt Holly,NJ,Burlington County Department of Corrections,Body-worn Cameras,,2020,2020.0
Newark,NJ,Essex County College Police Department,Body-worn Cameras,,2020,2020.0
Newark,NJ,New Jersey Institute of Technology Police Department,Body-worn Cameras,,2020,2020.0
North Bergen,NJ,North Bergen Police Department,Body-worn Cameras,,2020,2020.0
Northvale,NJ,Northvale Police Department,Body-worn Cameras,,2020,2020.0
Ocean Gate,NJ,Ocean Gate Police Department,Body-worn Cameras,,2020,2020.0
Palisades Park,NJ,Palisades Park Police Department,Body-worn Cameras,,2020,2020.0
Paulsboro,NJ,Paulsboro Police Department,Body-worn Cameras,,2020,2020.0
Pemberton,NJ,Pemberton Borough Police Department,Body-worn Cameras,,2020,2020.0
Pohatcong,NJ,Pohatcong Police Department,Body-worn Cameras,,2020,2020.0
Ramsey,NJ,Ramsey Police Department,Body-worn Cameras,,2020,2020.0
Riverside,NJ,Riverside Police Department,Body-worn Cameras,,2020,2020.0
Saddle River,NJ,Saddle River Police Department,Body-worn Cameras,,2020,2020.0
South Toms River,NJ,South Toms River Police Department,Body-worn Cameras,,2020,2020.0
Trenton,NJ,Trenton Police Department,Body-worn Cameras,,2020,2020.0
Union,NJ,Kean University Police Department,Body-worn Cameras,,2020,2020.0
Ventnor,NJ,Ventnor Police Department,Body-worn Cameras,,2020,2020.0
Vernon,NJ,Vernon Police Department,Body-worn Cameras,,2020,2020.0
Wallington,NJ,Wallington Police Department,Body-worn Cameras,,2020,2020.0
West Wildwood,NJ,West Wildwood Police Department,Body-worn Cameras,,2020,2020.0
Westfield,NJ,Westfield Police Department,Body-worn Cameras,,2020,2020.0
Winfield,NJ,Winfield Police Department,Body-worn Cameras,,2020,2020.0
Woodstown,NJ,Woodstown Police Department,Body-worn Cameras,,2020,2020.0
Woolwich,NJ,Woolwich Township Police Department,Body-worn Cameras,,2020,2020.0
Altha,FL,Altha Police Department,Body-worn Cameras,,2019,2019.0
Arcadia,FL,Arcadia Police Department,Body-worn Cameras,,2019,2019.0
Blountstown,FL,Blountstown Police Department,Body-worn Cameras,,2019,2019.0
Boca Raton,FL,Boca Raton Police Services Department,Body-worn Cameras,,2019,2019.0
Boynton Beach,FL,Boynton Beach Police Department,Body-worn Cameras,,2019,2019.0
Bunnell,FL,Bunnell Police Department,Body-worn Cameras,,2019,2019.0
Cape Coral,FL,Cape Coral Police Department,Body-worn Cameras,,2019,2019.0
Casselberry,FL,Casselberry Police Department,Body-worn Cameras,,2019,2019.0
Cedar Key,FL,Cedar Key Police Department,Body-worn Cameras,,2019,2019.0
Center Hill,FL,Center Hill Police Department,Body-worn Cameras,,2019,2019.0
Chipley,FL,Chipley Police Department,Body-worn Cameras,,2019,2019.0
Belle Isle,FL,Belle Isle Police Department,Body-worn Cameras,,2019,2019.0
Crestview,FL,Crestview Police Department,Body-worn Cameras,,2019,2019.0
Dade City,FL,Dade City Police Department,Body-worn Cameras,,2019,2019.0
Daytona Beach Shores,FL,Daytona Beach Shores Department of Public Safety,Body-worn Cameras,,2019,2019.0
Deland,FL,Deland Police Department,Body-worn Cameras,,2019,2019.0
Delray Beach,FL,Delray Beach Police Department,Body-worn Cameras,,2019,2019.0
Dunnellon,FL,Dunnellon Police Department,Body-worn Cameras,,2019,2019.0
Edgewood,FL,Edgewood Police Department,Body-worn Cameras,,2019,2019.0
Eustis,FL,Eustis Police Department,Body-worn Cameras,,2019,2019.0
Fernandina Beach,FL,Fernandina Beach Police Department,Body-worn Cameras,,2019,2019.0
Fort Walton Beach,FL,Fort Walton Beach Police Department,Body-worn Cameras,,2019,2019.0
Gretna,FL,Gretna Police Department,Body-worn Cameras,,2019,2019.0
Groveland,FL,Groveland Police Department,Body-worn Cameras,,2019,2019.0
Gulf Breeze,FL,Gulf Breeze Police Department,Body-worn Cameras,,2019,2019.0
Gulfport,FL,Gulfport Police Department,Body-worn Cameras,,2019,2019.0
Havana,FL,Havana Police Department,Body-worn Cameras,,2019,2019.0
Highland Beach,FL,Highland Beach Police Department,Body-worn Cameras,,2019,2019.0
Howey-In-The-Hills,FL,Howey-In-The-Hills Police Department,Body-worn Cameras,,2019,2019.0
Jasper,FL,Jasper Police Department,Body-worn Cameras,,2019,2019.0
Key Biscayne,FL,Key Biscayne Police Department,Body-worn Cameras,,2019,2019.0
Key Colony Beach,FL,Key Colony Beach Police Department,Body-worn Cameras,,2019,2019.0
Key West,FL,Key West Police Department,Body-worn Cameras,,2019,2019.0
Kissimmee,FL,Kissimmee Police Department,Body-worn Cameras,,2019,2019.0
Lake City,FL,Lake City Police Department,Body-worn Cameras,,2019,2019.0
Lake Clarke Shores,FL,Lake Clarke Shores Police Department,Body-worn Cameras,,2019,2019.0
Lake Mary,FL,Lake Mary Police Department,Body-worn Cameras,,2019,2019.0
Lake Placid,FL,Lake Placid Police Department,Body-worn Cameras,,2019,2019.0
Lauderhill,FL,Lauderhill Police Department,Body-worn Cameras,,2019,2019.0
Lynn Haven,FL,Lynn Haven Police Department,Body-worn Cameras,,2019,2019.0
Madison,FL,Madison Police Department,Body-worn Cameras,,2019,2019.0
Manalapan,FL,Manalapan Police Department,Body-worn Cameras,,2019,2019.0
Marianna,FL,Marianna Police Department,Body-worn Cameras,,2019,2019.0
Mascotte,FL,Mascotte Police Department,Body-worn Cameras,,2019,2019.0
Melbourne Beach,FL,Melbourne Beach Police Department,Body-worn Cameras,,2019,2019.0
Melbourne Village,FL,Melbourne Village Police Department,Body-worn Cameras,,2019,2019.0
Miami Beach,FL,Miami Beach Police Department,Body-worn Cameras,,2019,2019.0
Miami Gardens,FL,Miami Gardens Police Department,Body-worn Cameras,,2019,2019.0
Monticello,FL,Monticello Police Department,Body-worn Cameras,,2019,2019.0
Mount Dora,FL,Mount Dora Police Department,Body-worn Cameras,,2019,2019.0
New Smyrna Beach,FL,New Smyrna Beach Police Department,Body-worn Cameras,,2019,2019.0
Niceville,FL,Niceville Police Department,Body-worn Cameras,Wolfcom,2019,2019.0
North Miami,FL,North Miami Police Department,Body-worn Cameras,,2019,2019.0
North Port,FL,North Port Police Department,Body-worn Cameras,,2019,2019.0
Ocoee,FL,Ocoee Police Department,Body-worn Cameras,,2019,2019.0
Opa Locka,FL,Opa-locka Police Department,Body-worn Cameras,,2019,2019.0
Ormond Beach,FL,Ormond Beach Police Department,Body-worn Cameras,,2019,2019.0
Oviedo,FL,Oviedo Police Department,Body-worn Cameras,,2019,2019.0
Palatka,FL,Palatka Police Department,Body-worn Cameras,,2019,2019.0
Palm Beach Gardens,FL,Palm Beach Gardens Police Department,Body-worn Cameras,,2019,2019.0
Palm Beach,FL,Palm Beach Police Department,Body-worn Cameras,,2019,2019.0
Parker,FL,Parker Police Department,Body-worn Cameras,,2019,2019.0
Pembroke Pines,FL,Pembroke Pines Police Department,Body-worn Cameras,,2019,2019.0
Perry,FL,Perry Police Department,Body-worn Cameras,,2019,2019.0
Rockledge,FL,Rockledge Police Department,Body-worn Cameras,,2019,2019.0
Sanford,FL,Sanford Police Department,Body-worn Cameras,,2019,2019.0
Sebastian,FL,Sebastian Police Department,Body-worn Cameras,,2019,2019.0
Sewalls Point,FL,Sewalls Point Police Department,Body-worn Cameras,,2019,2019.0
Shalimar,FL,Shalimar Police Department,Body-worn Cameras,,2019,2019.0
Sneads,FL,Sneads Police Department,Body-worn Cameras,,2019,2019.0
South Daytona,FL,South Daytona Police Department,Body-worn Cameras,,2019,2019.0
South Miami,FL,South Miami Police Department,Body-worn Cameras,,2019,2019.0
Springfield,FL,Springfield Police Department,Body-worn Cameras,,2019,2019.0
St. Cloud,FL,St. Cloud Police Department,Body-worn Cameras,,2019,2019.0
Sweetwater,FL,Sweetwater Police Department,Body-worn Cameras,,2019,2019.0
Titusville,FL,Titusville Police Department,Body-worn Cameras,,2019,2019.0
Umatilla,FL,Umatilla Police Department,Body-worn Cameras,,2019,2019.0
Valparaiso,FL,Valparaiso Police Department,Body-worn Cameras,,2019,2019.0
West Melbourne,FL,West Melbourne Police Department,Body-worn Cameras,,2019,2019.0
Wildwood,FL,Wildwood Police Department,Body-worn Cameras,,2019,2019.0
Williston,FL,Williston Police Department,Body-worn Cameras,,2019,2019.0
Windermere,FL,Windermere Police Department,Body-worn Cameras,,2019,2019.0
Winter Garden,FL,Winter Garden Police Department,Body-worn Cameras,,2019,2019.0
Winter Park,FL,Winter Park Police Department,Body-worn Cameras,,2019,2019.0
Panama City,FL,Bay County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Starke,FL,Bradford County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Blountstown,FL,Calhoun County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Arcadia,FL,Desoto County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Palm Coast,FL,Flagler County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Clewiston,FL,Hendry County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Wimauma,FL,Hillsborough County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Bonifay,FL,Holmes County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Marianna,FL,Jackson County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Jacksonville,FL,Jacksonville Sheriff's Office,Body-worn Cameras,,2019,2019.0
Monticello,FL,Jefferson County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Mayo,FL,Lafayette County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Tavares,FL,Lake County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Tallahassee,FL,Leon County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Madison,FL,Madison County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Ocala,FL,Marion County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Key West,FL,Monroe County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Shalimar,FL,Okaloosa County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Okeechobee,FL,Okeechobee County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Land O' Lakes,FL,Pasco County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Sanford,FL,Seminole County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Perry,FL,Taylor County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Daytona Beach,FL,Volusia County Sheriff's Office,Body-worn Cameras,,2019,2019.0
De Funiak Springs,FL,Walton County Sheriff's Office,Body-worn Cameras,,2019,2019.0
Tallahassee,FL,Florida Fish and Wildlife Conservation Commission,Body-worn Cameras,,2019,2019.0
Tallahassee,FL,"State Attorney's Office, Second Judicial Circuit",Body-worn Cameras,,2019,2019.0
Marianna,FL,Jackson County School District Police Department,Body-worn Cameras,,2019,2019.0
Pensacola,FL,Pensacola State College Police Department,Body-worn Cameras,,2019,2019.0
Gainesville,FL,"University of Florida, University Police Department",Body-worn Cameras,,2019,2019.0
Chipley,FL,Washington District Schools Department of Public Safety,Body-worn Cameras,,2019,2019.0
Beloit,WI,Beloit Town Police Department,Body-worn Cameras,,2020,2020.0
La Crosse,WI,Campbell Police Department,Body-worn Cameras,,2020,2020.0
DeForest,WI,DeForest Police Department,Body-worn Cameras,,2020,2020.0
Fontana-On-Geneva Lake,WI,Fontana Police Department,Body-worn Cameras,,2020,2020.0
Neenah,WI,Fox Crossing Police Department,Body-worn Cameras,,2020,2020.0
Gibraltar,WI,Gibraltar Police Department,Body-worn Cameras,,2020,2020.0
Linn,WI,Linn Township Police Department,Body-worn Cameras,,2020,2020.0
Madison,WI,Madison Town Police Department,Body-worn Cameras,,2020,2020.0
Mineral Point,WI,Mineral Point Police Department,Body-worn Cameras,,2020,2020.0
Nekoosa,WI,Rome Town Police Department,Body-worn Cameras,,2020,2020.0
St. Francis,WI,St. Francis Police Department,Body-worn Cameras,,2020,2020.0
Kenosha,WI,University of Wisconsin-Parkside Police Department,Body-worn Cameras,,2020,2020.0
Racine,WI,Wind Point Police Department,Body-worn Cameras,,2020,2020.0
Beaver Dam,WI,Beaver Dam Police Department,Body-worn Cameras,,2020,2020.0
Delavan,WI,Delavan Police Department,Body-worn Cameras,,2020,2020.0
East Troy,WI,East Troy Town Police Department,Body-worn Cameras,,2020,2020.0
East Troy,WI,East Troy Village Police Department,Body-worn Cameras,,2020,2020.0
Fulton,WI,Fulton Police Department,Body-worn Cameras,,2020,2020.0
Lake Geneva,WI,Geneva Police Department,Body-worn Cameras,,2020,2020.0
Hartford,WI,Hartford Police Department,Body-worn Cameras,,2020,2020.0
Milton,WI,Milton Township Police Department,Body-worn Cameras,,2020,2020.0
Oneida,WI,Oneida Tribal Police Department,Body-worn Cameras,,2020,2020.0
Ripon,WI,Ripon Township Police Department,Body-worn Cameras,,2020,2020.0
Hudson,WI,St. Croix County Sheriff's Office,Body-worn Cameras,,2020,2020.0
St. Croix Falls,WI,St. Croix Falls Police Department,Body-worn Cameras,,2020,2020.0
Menomonie,WI,University of Wisconsin-Stout Police Department,Body-worn Cameras,,2020,2020.0
Wisconsin Rapids,WI,Wood County Sheriff's Office,Body-worn Cameras,,2020,2020.0
Marshfield,WI,Marshfield Police Department,Body-worn Cameras,,2020,2020.0
Nekoosa,WI,Nekoosa Police Department,Body-worn Cameras,,2020,2020.0
Port Edwards,WI,Port Edwards Police Department,Body-worn Cameras,,2020,2020.0
Wisconsin Rapids,WI,Wisconsin Rapids Police Department,Body-worn Cameras,,2020,2020.0
Oshkosh,WI,Winnebago County Sheriff's Office,Body-worn Cameras,,2020,2020.0
Menasha,WI,Menasha Police Department,Body-worn Cameras,,2020,2020.0
Neenah,WI,Neenah Police Department,Body-worn Cameras,,2020,2020.0
Omro,WI,Omro Police Department,Body-worn Cameras,,2020,2020.0
Winneconne,WI,Winneconne Police Department,Body-worn Cameras,,2020,2020.0
Oshkosh,WI,Oshkosh Police Department,Body-worn Cameras,,2020,2020.0
Hancock,WI,Hancock Police Department,Body-worn Cameras,,2020,2020.0
Plainfield,WI,Plainfield Police Department,Body-worn Cameras,,2020,2020.0
Wautoma,WI,Wautoma Police Department,Body-worn Cameras,,2020,2020.0
Wild Rose,WI,Wild Rose Police Department,Body-worn Cameras,,2020,2020.0
Manawa,WI,Manawa Police Department,Body-worn Cameras,,2020,2020.0
Marion,WI,Marion Police Department,Body-worn Cameras,,2020,2020.0
New London,WI,New London Police Department,Body-worn Cameras,,2020,2020.0
Waupaca,WI,Waupaca Police Department,Body-worn Cameras,,2020,2020.0
Big Bend,WI,Big Bend Police Department,Body-worn Cameras,,2020,2020.0
Butler,WI,Butler Police Department,Body-worn Cameras,,2020,2020.0
Mukwonago,WI,Mukwonago Police Department,Body-worn Cameras,,2020,2020.0
Muskego,WI,Muskego Police Department,Body-worn Cameras,,2020,2020.0
Oconomowoc,WI,Oconomowoc Police Department,Body-worn Cameras,,2020,2020.0
Pewaukee,WI,Pewaukee Police Department,Body-worn Cameras,,2020,2020.0
Brookfield,WI,Brookfield Police Department,Body-worn Cameras,,2020,2020.0
Eagle,WI,Eagle Police Department,Body-worn Cameras,,2020,2020.0
Hartford,WI,Hartford Police Department,Body-worn Cameras,,2020,2020.0
Kewaskum,WI,Kewaskum Police Department,Body-worn Cameras,,2020,2020.0
West Bend,WI,West Bend Police Department,Body-worn Cameras,,2020,2020.0
Spooner,WI,Spooner Police Department,Body-worn Cameras,,2020,2020.0
Genoa City,WI,Genoa City Police Department,Body-worn Cameras,,2020,2020.0
Sharon,WI,Sharon Police Department,Body-worn Cameras,,2020,2020.0
Williams Bay,WI,Williams Bay Police Department,Body-worn Cameras,,2020,2020.0
Delavan,WI,Delavan Police Department,Body-worn Cameras,,2020,2020.0
Whitewater,WI,University of Wisconsin-Whitewater Police Department,Body-worn Cameras,,2020,2020.0
Walworth,WI,Walworth Police Department,Body-worn Cameras,,2020,2020.0
